dateread,year,title,description,url
2013-11-15,2011,Learning Deep Energy Models,"Craig: Presents an interesting alternative to learning deep probabilistic models: only let the top layer be probabilistic and all lower layers create a deterministic feed-forward neural net. This avoids complicated sampling or variational techniques used to train previous deep probabilistic models (ex. DBN,DBM)",http://ai.stanford.edu/~ang/papers/icml11-DeepEnergyModels.pdf
2013-11-01,2010,Modeling Pixel Means and Covariances Using Factorized Third-Order Boltzmann Machines,"Leif: An important addition to the canon of RBM / energy-based models. This model (mcRBM) explicitly captures the mean and the covariance of the visible units, and gives good results on a wide variety of datasets.",http://www.cs.utoronto.ca/~hinton/absps/ranzato_cvpr2010.pdf‎
2013-10-18,2006,A fast learning algorithm for deep belief networks,"Leif: A foundational paper that opened up the ""deep"" learning field. This paper puts a nice probabilistic background on deep architectures based on RBMs.",http://www.cs.toronto.edu/~hinton/absps/fastnc.pdf
2013-10-04,2013,Representation Learning: A Review and New Perspectives,"Craig: Quite a long one, but a good overview of a field that is changing rapidly by Bengio, one of the leaders in the field. Might be a good one to start off with or have here as background reading.",http://arxiv.org/pdf/1206.5538.pdf
,2016,Neural GPUs Learn Algorithms,"Karl: Like Neural Turing Machines, but parallelizable",http://arxiv.org/pdf/1511.08228.pdf
,2015,Scheduled Sampling for Sequence Prediction with Recurrent Neural Networks,"Karl: Usually, when we train sequence-decoders, we feed the gold-standard output as the next step's input. This is KIND OF strange since the model doesn't necessarily know how to generate the gold output yet, so there's a mismatch between what the model knows how to predict at each timestep and what it's input at the next timestep. This paper describes a method of training output sequence models in a way that reduces this mismatch.",http://arxiv.org/pdf/1506.03099v3.pdf
,2015,Equilibrated adaptive learning rates for non-convex optimization,Karl: An adaptive learning-rate scheme that takes curvature information into account,http://arxiv.org/pdf/1502.04390.pdf
,2015,A Recurrent Latent Variable Model for Sequential Data,"Karl: The authors introduce Variational Recurrent Neural Nets, which explicitly model dependencies between latent random variables across timesteps. Think, like, a Kalman filter, but with learned nonlinear dynamics between the hidden states.",http://arxiv.org/pdf/1506.02216v5.pdf
,2015,Deep Residual Learning for Image Recognition,"Dinesh: The 152-layer network from MSRA that won (most categories of) the Imagenet challenge in 2015. They introduce a neat trick to training such deep networks, without running into vanishing gradient issues. ",http://arxiv.org/abs/1512.03385
,2015,The Loss Surfaces of Multilayer Networks,"Edward: It is shown (under certain assumptions) that local minima do not pose an issue to deep networks because the chance of finding a bad local minima decreases exponentially with the depth of the network. I don't pretend to understand the math here, but I think the result is important.",http://arxiv.org/abs/1412.0233
,2016,Adaptive Computation Time for Recurrent Neural Networks,"Karl: Alex Graves introduces a method of allowing an RNN to dynamically learn to perform a differing number of Iterations, based on the input (instead of performing the exact same structured computation at each input).",http://arxiv.org/abs/1603.08983
,2016,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models","SV: Folks from DeepMind do image interpretation as inference in a generative model. Given an image you want to identify what are the objects, where they are, relative positions etc. But take a generative approach to this (like DPMs - deformable parts model - but generative.) They use RNNs, attend to one object at a time and learn to use ""appropriate number"" of inference steps.",http://arxiv.org/abs/1603.08575
,2015,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,SR: Suggest using the same dropout noise through all recurrent layers of the mask. They actually justify it theoretically. Emperically it works,http://arxiv.org/pdf/1512.05287v2.pdf
,2016,"Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding","SR: Techniques for compressing neural networks, including pruning, quantization, and huffman coding. Accuracy perserved, two orders smaller model, ~5x faster.",http://arxiv.org/abs/1510.00149
,2016,Sparse Word Embeddings Using L1 Regularized Online Learning,"SR: They add L1 regularization to w2v, get more interpretable dimensions. probably not worth reading, but it's nice",http://ofey.me/papers/sparse_ijcai16.pdf
